   t(ms)   I_load(A)  I_bat_target(A)  I_bat_actual(A)   I_grid(A)     dI_grid(A/s)    Mode
-----------------------------------------------------------------------------------------------
 10.0000        5.00             0.00             0.00        5.00           200000      保持
 10.0476       14.52             0.00             0.00       14.52           200000      保持
 10.0952       24.05             8.57             7.62       16.43            40210      跟随
 10.1429       33.57             7.62             7.62       25.95           200000      保持
 10.1905       43.10            17.14            15.23       27.87            40210      跟随
 10.2381       52.62            15.23            15.23       37.39           200000      保持
 10.2857       62.14            25.71            22.85       39.29            40000      跟随
 10.3333       71.67            22.85            22.85       48.82           200210      保持
 10.3810       81.19            34.29            30.46       50.73            40000      跟随
 10.4286       90.71            30.46            30.46       60.25           200000      保持
 10.4762      100.24            42.86            38.08       62.16            40210      跟随
 10.5238      109.76            38.08            38.08       71.68           200000      保持
 10.5714      119.29            51.43            45.70       73.59            40210      跟随
 10.6190      128.81            45.70            45.70       83.11           200000      保持
 10.6667      138.33            60.00            53.31       85.02            40000      跟随
 10.7143      147.86            53.31            53.31       94.55           200210      保持
 10.7619      157.38            68.57            60.93       96.45            40000      跟随
 10.8095      166.90            60.93            60.93      105.97           200000      保持
 10.8571      176.43            77.14            68.54      107.89            40210      跟随
 10.9048      185.95            68.54            68.54      117.41           200000      保持
 10.9524      195.48            85.72            76.16      119.32            40210      跟随
 11.0000      205.00            76.16            76.16      128.84           200000      保持
 11.0476      209.76            92.14            83.78      125.98           -60000      跟随
 11.0952      214.52            83.78            83.78      130.74           100000      保持
 11.1429      219.29            96.43            91.39      127.90           -59790      跟随
 11.1905      224.05            91.39            91.39      132.66           100000      保持
 11.2381      228.81           100.71            99.01      129.80           -60000      跟随
 11.2857      233.57            99.01            99.01      134.56           100000      保持
 11.3333      238.33           105.00           105.00      133.33           -25851      跟随
 11.3810      243.10           105.00           105.00      138.10           100210      保持
 11.4286      247.86           109.29           109.29      138.57             9905      跟随
 11.4762      252.62           109.29           109.29      143.33           100000      保持
 11.5238      257.38           113.57           113.57      143.81            10000      跟随
 11.5714      262.14           113.57           113.57      148.57           100000      保持
 11.6190      266.90           117.85           117.85      149.04            10000      跟随
 11.6667      271.67           117.85           117.85      153.82           100210      保持
 11.7143      276.43           122.14           122.14      154.29             9905      跟随
 11.7619      281.19           122.14           122.14      159.05           100000      保持
 11.8095      285.95           126.43           126.43      159.52            10000      跟随
 11.8571      290.71           126.43           126.43      164.28           100000      保持
 11.9048      295.48           130.72           130.72      164.76            10116      跟随
 11.9524      300.24           130.72           130.72      169.52           100000      保持
 12.0000      305.00           135.00           135.00      170.00            10000      跟随
 12.0476      309.76           135.00           135.00      174.76           100000      保持
 12.0952      314.52           139.28           139.28      175.24            10000      跟随
 12.1429      319.29           139.28           139.28      180.01           100210      保持
 12.1905      324.05           143.57           143.57      180.48             9905      跟随
 12.2381      328.81           143.57           143.57      185.24           100000      保持
 12.2857      333.57           147.86           147.86      185.71            10000      跟随
 12.3333      338.33           147.86           147.86      190.47           100000      保持
 12.3810      343.10           152.15           152.15      190.96            10116      跟随
 12.4286      347.86           152.15           152.15      195.72           100000      保持
 12.4762      352.62           156.43           156.43      196.19            10000      跟随
 12.5238      357.38           156.43           156.43      200.95           100000      保持
 12.5714      362.14           160.71           160.71      201.43            10000      跟随
 12.6190      366.90           160.71           160.71      206.19           100000      保持
 12.6667      371.67           165.00           165.00      206.67            10116      跟随
 12.7143      376.43           165.00           165.00      211.43           100000      保持
 12.7619      381.19           169.29           169.29      211.90            10000      跟随
 12.8095      385.95           169.29           169.29      216.66           100000      保持
 12.8571      390.71           173.57           173.57      217.14            10000      跟随
 12.9048      395.48           173.57           173.57      221.91           100210      保持
 12.9524      400.24           177.86           177.86      222.38             9905      跟随
 13.0000      405.00           177.86           177.86      227.14           100000      保持
 13.0476      409.76           182.14           182.14      227.62            10000      跟随
 13.0952      414.52           182.14           182.14      232.38           100000      保持
 13.1429      419.29           186.43           186.43      232.86            10116      跟随
 13.1905      424.05           186.43           186.43      237.62           100000      保持
 13.2381      428.81           190.71           190.71      238.10            10000      跟随
 13.2857      433.57           190.71           190.71      242.86           100000      保持
 13.3333      438.33           195.00           195.00      243.33            10000      跟随
 13.3810      443.10           195.00           195.00      248.10           100210      保持
 13.4286      447.86           199.29           199.29      248.57             9905      跟随
 13.4762      452.62           199.29           199.29      253.33           100000      保持
 13.5238      457.38           203.57           203.57      253.81            10000      跟随
 13.5714      462.14           203.57           203.57      258.57           100000      保持
 13.6190      466.90           207.85           207.85      259.04            10000      跟随
 13.6667      471.67           207.85           207.85      263.82           100210      保持
 13.7143      476.43           212.14           212.14      264.29             9905      跟随
 13.7619      481.19           212.14           212.14      269.05           100000      保持
 13.8095      485.95           216.43           216.43      269.52            10000      跟随
 13.8571      490.71           216.43           216.43      274.28           100000      保持
 13.9048      495.48           220.72           220.72      274.76            10116      跟随
 13.9524      500.24           220.72           220.72      279.52           100000      保持
 14.0000      505.00           225.00           225.00      280.00            10000      跟随
 14.0476      509.76           225.00           225.00      284.76           100000      保持
 14.0952      514.52           229.28           229.28      285.24            10000      跟随
 14.1429      519.29           229.28           229.28      290.01           100210      保持
 14.1905      524.05           233.57           233.57      290.48             9905      跟随
 14.2381      528.81           233.57           233.57      295.24           100000      保持
 14.2857      533.57           237.86           237.86      295.71            10000      跟随
 14.3333      538.33           237.86           237.86      300.47           100000      保持
 14.3810      543.10           242.15           242.15      300.96            10116      跟随
 14.4286      547.86           242.15           242.15      305.72           100000      保持
 14.4762      552.62           246.43           246.43      306.19            10000      跟随
 14.5238      557.38           246.43           246.43      310.95           100000      保持
 14.5714      562.14           250.71           250.71      311.43            10000      跟随
 14.6190      566.90           250.71           250.71      316.19           100000      保持
 14.6667      571.67           255.00           255.00      316.67            10116      跟随
 14.7143      576.43           255.00           255.00      321.43           100000      保持
 14.7619      581.19           259.29           259.29      321.90            10000      跟随
 14.8095      585.95           259.29           259.29      326.66           100000      保持
 14.8571      590.71           263.57           263.57      327.14            10000      跟随
 14.9048      595.48           263.57           263.57      331.91           100210      保持
 14.9524      600.24           267.86           267.86      332.38             9905      跟随
 15.0000      605.00           267.86           267.86      337.14           100000      保持
